Epoch_ID,Time,Satellite,C1C_m
72,2024-11-14 08:58:29,G09,20148428.383
72,2024-11-14 08:58:29,G16,23408402.781
72,2024-11-14 08:58:29,G20,23671675.031
72,2024-11-14 08:58:29,G30,22552362.371
73,2024-11-14 08:58:30,G04,21296931.285
73,2024-11-14 08:58:30,G07,21141261.582
73,2024-11-14 08:58:30,G08,23559847.039
73,2024-11-14 08:58:30,G09,20148439.031
73,2024-11-14 08:58:30,G16,23409021.855
73,2024-11-14 08:58:30,G20,23671240.52
73,2024-11-14 08:58:30,G30,22551990.391
74,2024-11-14 08:58:31,G04,21297246.844
74,2024-11-14 08:58:31,G07,21141185.93
74,2024-11-14 08:58:31,G08,23559402.922
74,2024-11-14 08:58:31,G09,20148449.664
74,2024-11-14 08:58:31,G16,23409640.914
74,2024-11-14 08:58:31,G20,23670806.707
74,2024-11-14 08:58:31,G30,22551618.105
75,2024-11-14 08:58:32,G04,21297562.988
75,2024-11-14 08:58:32,G07,21141110.145
75,2024-11-14 08:58:32,G08,23558959.246
75,2024-11-14 08:58:32,G09,20148460.734
75,2024-11-14 08:58:32,G16,23410259.98
75,2024-11-14 08:58:32,G20,23670372.477
75,2024-11-14 08:58:32,G30,22551245.977
76,2024-11-14 08:58:33,G04,21297878.98
76,2024-11-14 08:58:33,G07,21141034.637
76,2024-11-14 08:58:33,G08,23558515.992
76,2024-11-14 08:58:33,G09,20148471.797
76,2024-11-14 08:58:33,G16,23410878.754
76,2024-11-14 08:58:33,G20,23669938.379
76,2024-11-14 08:58:33,G30,22550873.84
77,2024-11-14 08:58:34,G04,21298194.953
77,2024-11-14 08:58:34,G07,21140958.965
77,2024-11-14 08:58:34,G08,23558072.863
77,2024-11-14 08:58:34,G09,20148482.84
77,2024-11-14 08:58:34,G16,23411498.227
77,2024-11-14 08:58:34,G20,23669504.266
77,2024-11-14 08:58:34,G30,22550501.824
78,2024-11-14 08:58:35,G04,21298510.637
78,2024-11-14 08:58:35,G07,21140883.438
78,2024-11-14 08:58:35,G08,23557629.156
78,2024-11-14 08:58:35,G09,20148494.023
78,2024-11-14 08:58:35,G16,23412117.695
78,2024-11-14 08:58:35,G20,23669070.289
78,2024-11-14 08:58:35,G30,22550129.668
79,2024-11-14 08:58:36,G04,21298826.727
79,2024-11-14 08:58:36,G07,21140807.887
79,2024-11-14 08:58:36,G08,23557186.434
79,2024-11-14 08:58:36,G09,20148505.328
79,2024-11-14 08:58:36,G16,23412736.855
79,2024-11-14 08:58:36,G20,23668636.293
79,2024-11-14 08:58:36,G30,22549757.199
80,2024-11-14 08:58:37,G04,21299142.863
80,2024-11-14 08:58:37,G07,21140732.234
80,2024-11-14 08:58:37,G08,23556743.465
80,2024-11-14 08:58:37,G09,20148516.82
80,2024-11-14 08:58:37,G16,23413356.488
80,2024-11-14 08:58:37,G20,23668202.484
80,2024-11-14 08:58:37,G30,22549385.352
81,2024-11-14 08:58:38,G04,21299458.934
81,2024-11-14 08:58:38,G07,21140656.664
81,2024-11-14 08:58:38,G08,23556300.293
81,2024-11-14 08:58:38,G09,20148528.25
81,2024-11-14 08:58:38,G16,23413976.059
81,2024-11-14 08:58:38,G20,23667769.328
81,2024-11-14 08:58:38,G30,22549013.293
82,2024-11-14 08:58:39,G04,21299775.434
82,2024-11-14 08:58:39,G07,21140581.379
82,2024-11-14 08:58:39,G08,23555857.402
82,2024-11-14 08:58:39,G09,20148539.82
82,2024-11-14 08:58:39,G16,23414595.34
82,2024-11-14 08:58:39,G20,23667335.598
82,2024-11-14 08:58:39,G30,22548641.664
83,2024-11-14 08:58:40,G04,21300092.066
83,2024-11-14 08:58:40,G07,21140505.941
83,2024-11-14 08:58:40,G08,23555414.074
83,2024-11-14 08:58:40,G09,20148551.383
